comment,,,,,,,,,,,,,,,,,Used same g0 as from Weaver2023,,,,,,,,,,,,,,,
Name,,Vainsencher  (APL),Balram (Nat. phot. and PRApp),Jiang (optica),Shao,Forsch,Jiang (this work),Ramp (J Davis),Han (Hong Tang),Peairs (A.N. Cleland),Mirhosseini,Stockill,Jiang (LNSOI),Weaver2023,Yoon2023,Meesala2024,vanThiel2025,,Brubaker ,Yoon,,Fan (2018),Witmer (2020),McKenna (2020),Holzgrafe (2020),Hease (2020),Xu (Hong Tang),Multani (2024),,,,
link,,https://aip.scitation.org/doi/abs/10.1063/1.4955408,https://www.nature.com/articles/nphoton.2016.46,https://arxiv.org/pdf/1903.00957.pdf,https://arxiv.org/pdf/1907.08593.pdf,https://arxiv.org/pdf/1812.07588.pdf,-,https://aip.scitation.org/doi/full/10.1063/5.0002160,https://www.nature.com/articles/s41467-020-17053-3,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.14.061001,https://www.nature.com/articles/s41586-020-3038-6,,in prep,https://www.nature.com/articles/s41565-023-01515-y,,https://www.nature.com/articles/s41567-024-02409-z,https://doi.org/10.1038/s41567-024-02742-3,,https://journals.aps.org/prx/pdf/10.1103/PhysRevX.12.021062,https://arxiv.org/pdf/2208.06454.pdf,,https://www.science.org/doi/10.1126/sciadv.aar4994,https://iopscience.iop.org/article/10.1088/2058-9565/ab7eed/meta?casa_token=jD7sC3snibEAAAAA:mrFDcmw-HERWrylOgpYlsz6xy5BHmAlttFy1Nz-7_lJYWPiWgVdPFZnqzLIt0kvgbdD-w2NeXMQ5,https://opg.optica.org/optica/fulltext.cfm?uri=optica-7-12-1737,https://opg.optica.org/optica/fulltext.cfm?uri=optica-7-12-1714&id=444323,https://journals.aps.org/prxquantum/pdf/10.1103/PRXQuantum.1.020315,https://www.nature.com/articles/s41467-021-24809-y,n/a,,,,
,,,,https://opg.optica.org/optica/fulltext.cfm?uri=optica-6-7-845&id=414988,https://opg.optica.org/optica/fulltext.cfm?uri=optica-6-12-1498&id=423626,https://www.nature.com/articles/s41567-019-0673-7,https://www.nature.com/articles/s41467-020-14863-3,,,,,https://doi.org/10.1038/s41467-022-34338-x,https://www.nature.com/articles/s41567-023-02129-w,,https://doi.org/10.1364/OPTICA.474022,,,,,,,,,,,,,,,,,
Latex Key,,Vainsencher2016,Balram2016,Jiang2019,Shao2019,Forsch2020,Jiang2020,Ramp2020,Han2020,Peairs2020,Mirhosseini2020,Stockill2022,Jiang2023,Weaver2023,Yoon2023,Meesala2024,vanThiel2025,,Brubaker2022,Yoon2022,,Fan2018,Witmer2020,McKenna2020,Holzgrafe2020,Hease2020,Xu2021,Multani2024,,,,
time,,2016,2016,2019,2019,2020,2020,2020,2020,2020,2020,2022,2023,2023,2023,2024,2025,,2022,2022,,2018,2020,2020,2020,2020,2021,2024,,,,
Device approach,,AlN OMC,GaAs OMC,LN OMC,LN Ring,"GaAs, mK",LN POMT,GaAs OMC,AlN disk,AlN-SOI,AlN-SOI,GaP,LN-SOI,LN-SOI,quartz,AlN-SOI,LN-SOI,,Bulk FP,Bulk Brillouin,,EO-AlN,EO-Polymer,EO-LN,EO-LN,EO-LN,EO-LN,EO-LN,,,,
microwave matching,,no,bad,bad,IDT,bad,IDT,3D cavity,2D resonator,IDT,SC qubit,LC resonator,2D resonator,2D resonator,3D resonator,2D resonator,2D resonator,,Membrane in the middle,Bulk Piezo,,,,,,,,,,,,
g0/2pi,Hz,1.15E+05,1.10E+06,1.20E+05,1.10E+03,1.30E+06,8.00E+04,1.30E+06,1.90E+04,7.34E+05,4.20E+05,7.00E+05,4.20E+05,5.30E+05,5.30E+00,2.70E+05,5.30E+05,,6.00E+01,5.9,,300,590,1.00E+03,650,36,750,600,,,,
g_mu/2pi,Hz,,,,,,,,3.00E+06,1.15E+06,4.50E+06,,4.00E+05,7.40E+06,3.40E+02,8.00E+05,7.40E+06,,,298,,,,,,,,,,,,
kappa_i/2pi,Hz,4.70E+09,4.03E+09,5.51E+08,8.08E+07,2.03E+09,4.13E+08,4.30E+09,3.60E+08,3.80E+09,8.00E+08,1.63E+09,5.61E+08,1.34E+09,1.01E+06,6.50E+08,2.58E+09,,560000,1.10E+06,,2.00E+08,2.07E+09,5.00E+08,2.00E+08,9.00E+06,1.92E+08,1.13E+08,,,hbar:,1.05E-34
kappa_e/2pi,Hz,1.05E+10,1.17E+09,2.25E+08,1.43E+07,3.77E+09,8.00E+08,2.30E+09,3.40E+08,6.50E+09,8.10E+08,2.54E+09,5.61E+08,3.65E+09,1.14E+06,6.50E+08,2.58E+09,,2.12E+06,1.10E+06,,1.00E+08,7.61E+09,1.50E+08,1.00E+09,8.00E+06,1.09E+08,8.80E+07,,,,
kappa_tot/2pi,Hz,1.52E+10,5.20E+09,7.76E+08,9.50E+07,5.80E+09,1.21E+09,6.60E+09,7.00E+08,1.03E+10,1.61E+09,4.17E+09,1.12E+09,4.99E+09,2.15E+06,1.30E+09,5.16E+09,,2680000,2.20E+06,,3.00E+08,9.68E+09,6.50E+08,1.20E+09,1.70E+07,3.01E+08,2.01E+08,,,,
eta_o = kappa_e/kappa,,69.08%,22.54%,28.94%,15.00%,65.00%,65.95%,34.85%,48.57%,63.11%,50.31%,60.91%,50.00%,73.15%,53.00%,50.00%,50.00%,,79.10%,50.00%,,33.33%,78.62%,23.08%,83.33%,47.06%,36.21%,43.78%,,,,
kappa_mu_e/2pi,Hz,,,,,,,2.05E+06,1.10E+05,3.10E+05,1.00E+07,,3.04E+06,2.20E+06,5.78E+06,1.20E+06,1.22E+07,,1.42E+06,7300000,,,,,,,,,,,,
kappa_mu_i/2pi,Hz,,,,,,,,,,,,,1.23E+06,1.12E+07,5.50E+05,1.14E+07,,,,,,,,,,,,,,,
kappa_mu/2pi,Hz,,,,,,,4.07E+06,4.21E+06,2.46E+07,1.00E+07,,3.10E+06,3.43E+06,1.70E+07,1.75E+06,2.36E+07,,2.30E+06,1.71E+07,,,,,,,,,,,,
gamma_i,Hz,3.50E+06,,5.00E+05,1.06E+06,,1.94E+06,2.90E+06,9.30E+05,6.20E+06,5.00E+05,6.70E+04,3.50E+05,,5.35E+05,1.50E+05,,,1.42E+06,500000,,143000,1910000,12800000,3900000,6.70E+06,6000000,1.27E+09,,,,
gamma_e,Hz,1.50E+06,,0.00E+00,2.18E+05,,,,,,,,2.00E+05,,,,,,8.80E+05,0.025,,4.07E+05,2.53E+06,4.40E+06,7800000,3.70E+06,3.22E+06,4.22E+08,,,,
gamma_tot/2pi,Hz,5.00E+06,1.71E+06,5.00E+05,1.28E+06,1.97E+05,1.94E+06,2.90E+06,1.15E+06,6.20E+06,2.75E+06,6.70E+04,5.50E+05,2.63E+06,5.35E+05,1.50E+05,,,2.30E+06,500000.025,,550000,4.44E+06,1.72E+07,11700000,1.04E+07,9.22E+06,1.70E+09,,,,
C0,,6.96E-07,5.43E-04,1.48E-04,3.98E-08,5.92E-03,1.09E-05,3.53E-04,1.79E-06,3.37E-05,1.59E-04,7.02E-03,1.14E-03,8.56E-05,9.77E-11,1.50E-03,,,2.34E-09,1.27E-10,,2.18E-09,3.24E-11,3.58E-10,1.20E-10,2.93E-11,8.11E-10,4.22E-12,,,,
gamma_mu/2pi,,9.55E+02,5.08E-04,8.80E-03,2.18E+05,7.03E-05,1.94E+03,9.15E-06,2.23E+05,2.71E+03,2.25E+06,,2.00E+05,4.10E+07,9.25E-03,1.00E+06,,,2.30E+06,500000.025,,550000,4.44E+06,1.72E+07,1.17E+07,1.04E+07,9.22E+06,1.70E+09,,,,
,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
eta_m,,1.91E-04,2.96E-10,1.76E-08,17.00%,3.57E-10,0.10%,3.16E-12,19.37%,4.37E-04,81.82%,3.60E-06,36.36%,93.97%,1.73E-08,6.69E+00,#DIV/0!,,38.26%,0.00%,,74.00%,56.98%,25.58%,66.67%,35.58%,34.92%,24.88%,,,,
Directly measured C0,,,,,,,1.20E-05,,,,,,1.14E-03,,,,,,2.34E-09,1.27E-10,,2.67E-09,2.00E-11,3.58E-10,1.20E-10,2.93E-11,8.11E-10,4.22E-12,,,,
eta0 = 4*C0*eta_o*eta_m,,3.67E-10,1.45E-13,3.02E-12,4.06E-09,5.49E-12,3.17E-08,1.55E-15,6.73E-07,3.72E-08,2.62E-04,6.15E-08,8.32E-04,2.35E-04,3.58E-18,2.00E-02,,,2.83E-09,1.27E-17,,2.63E-09,3.58E-11,8.45E-11,2.67E-10,1.96E-11,4.10E-10,1.84E-12,,,,
eta_total,,9.00E-08,1.00E-10,1.00E-09,1.70E-05,5.50E-12,1.00E-05,3.00E-13,1.00E-03,3.00E-05,1.31E-03,6.80E-08,6.00E-02,9.00E-03,1.20E-08,,,,5.50E-01,1.00E-08,,2.00E-02,2.00E-09,6.60E-06,2.70E-05,3.00E-04,1.00E-02,2.30E-07,,,,
